Kontras-0,Dissimilarity-0,Homogenitas-0,Entropi-0,ASM-0,Energi-0,Correlation-0,Kontras-45,Dissimilarity-45,Homogenitas-45,Entropi-45,ASM-45,Energi-45,Correlation-45,Kontras-90,Dissimilarity-90,Homogenitas-90,Entropi-90,ASM-90,Energi-90,Correlation-90,Kontras-135,Dissimilarity-135,Homogenitas-135,Entropi-135,ASM-135,Energi-135,Correlation-135,Rata-rata Warna 1,Rata-rata Warna 2,Rata-rata Warna 3
Anthias Anthias,372.0,372.0,326.0,-3733.6673112509748,306,17.4928556845359,0.9999910010059688,0.0,0.0,256.0,-1801.561762992721,146,12.083045973594572,0.9999999999999999,0.0,0.0,256.0,-1801.561762992721,146,12.083045973594572,0.9999999999999999,0.0,0.0,256.0,-1801.561762992721,146,12.083045973594572,0.9999999999999999,0.3813018798828125,0.3756866455078125,0.3758392333984375
Anthias Anthias,208.0,208.0,152.0,-1633.0025780747994,322,17.944358444926362,0.9999667693939728,0.0,0.0,256.0,-1795.2669792458812,66,8.12403840463596,1.0,0.0,0.0,256.0,-1795.2669792458812,66,8.12403840463596,1.0,0.0,0.0,256.0,-1795.2669792458812,66,8.12403840463596,1.0,0.0016937255859375,0.0001373291015625,0.0018463134765625
Anthias Anthias,2.0,2.0,255.0,-2029.1259104834107,6,2.449489742783178,0.9960784313725491,0.0,0.0,256.0,-2038.5601264278625,2,1.4142135623730951,1.0000000000000002,0.0,0.0,256.0,-2038.5601264278625,2,1.4142135623730951,1.0000000000000002,0.0,0.0,256.0,-2038.5601264278625,2,1.4142135623730951,1.0000000000000002,1.52587890625e-05,0.0,0.0
Anthias Anthias,409.0,409.0,563.5,-5828.450146665762,594,24.372115213907882,0.9999982575554217,0.0,0.0,256.0,-1794.5418239410797,450,21.213203435596427,1.0,0.0,0.0,256.0,-1794.5418239410797,450,21.213203435596427,1.0,0.0,0.0,256.0,-1794.5418239410797,450,21.213203435596427,1.0,0.0881195068359375,1.52587890625e-05,0.00018310546875
Anthias Anthias,2.0,2.0,255.0,-2029.1259104834107,6,2.449489742783178,0.9960784313725491,0.0,0.0,256.0,-2038.5601264278625,2,1.4142135623730951,1.0000000000000002,0.0,0.0,256.0,-2038.5601264278625,2,1.4142135623730951,1.0000000000000002,0.0,0.0,256.0,-2038.5601264278625,2,1.4142135623730951,1.0000000000000002,1.52587890625e-05,0.0,0.0
Dasyatis Centroura,102.0,102.0,205.0,-1688.9677248707762,196,14.0,0.9999257499257499,0.0,0.0,256.0,-1861.5976351343759,288,16.97056274847714,1.0,0.0,0.0,256.0,-1861.5976351343759,288,16.97056274847714,1.0,0.0,0.0,256.0,-1861.5976351343759,288,16.97056274847714,1.0,0.00079345703125,0.0017852783203125,0.000762939453125
Dasyatis Centroura,88.0,88.0,212.0,-1722.3393095101947,352,18.76166303929372,0.9999105305538158,0.0,0.0,256.0,-1878.5341276162933,288,16.97056274847714,1.0,0.0,0.0,256.0,-1878.5341276162933,288,16.97056274847714,1.0,0.0,0.0,256.0,-1878.5341276162933,288,16.97056274847714,1.0,0.00067138671875,0.00506591796875,0.000762939453125
Dasyatis Centroura,148.0,148.0,438.0,-3709.042707507151,224,14.966629547095765,0.9999980597866207,0.0,0.0,256.0,-1828.570000047191,128,11.313708498984761,1.0,0.0,0.0,256.0,-1828.570000047191,128,11.313708498984761,1.0,0.0,0.0,256.0,-1828.570000047191,128,11.313708498984761,1.0,0.1378173828125,0.1707305908203125,0.149871826171875
Dasyatis Centroura,84.0,84.0,214.0,-1645.3537725425035,352,18.76166303929372,0.9999638675087822,0.0,0.0,256.0,-1797.9948950218836,34,5.830951894845301,1.0,0.0,0.0,256.0,-1797.9948950218836,34,5.830951894845301,1.0,0.0,0.0,256.0,-1797.9948950218836,34,5.830951894845301,1.0,0.0289459228515625,0.0308837890625,0.038299560546875
Dasyatis Centroura,110.0,110.0,201.0,-1649.558965922043,598,24.454038521274967,0.9999418109490632,0.0,0.0,256.0,-1845.204388801364,274,16.55294535724685,0.9999999999999998,0.0,0.0,256.0,-1845.204388801364,274,16.55294535724685,0.9999999999999998,0.0,0.0,256.0,-1845.204388801364,274,16.55294535724685,0.9999999999999998,0.0009307861328125,0.0006256103515625,0.0004425048828125
